code,pop
Australian Capital Territory,17.85
New South Wales,17.5
Northern Territory,33.766666666666666
Queensland,24.6
South Australia,28.924999999999997
Tasmania,14.366666666666667
Victoria,21.1
Western Australia,24.433333333333337
