code,pop
Australian Capital Territory,30.9
New South Wales,24.766666666666666
Northern Territory,39.86666666666667
Queensland,28.424999999999997
South Australia,36.55
Tasmania,19.266666666666666
Victoria,30.75
Western Australia,35.93333333333334
