code,pop
Australian Capital Territory,30.95
New South Wales,21.733333333333334
Northern Territory,35.666666666666664
Queensland,28.575
South Australia,20.5
Tasmania,18.633333333333333
Victoria,23.225
Western Australia,31.76666666666667
