code,pop
Australian Capital Territory,17.85
New South Wales,18.833333333333332
Northern Territory,30.5
Queensland,25.549999999999997
South Australia,19.15
Tasmania,15.566666666666668
Victoria,15.5
Western Australia,23.233333333333334
