code,pop
Australian Capital Territory,35.5
New South Wales,28.133333333333336
Northern Territory,38.99999999999999
Queensland,28.05
South Australia,36.824999999999996
Tasmania,21.566666666666663
Victoria,32.35
Western Australia,32.26666666666667
