code,pop
Australian Capital Territory,24.95
New South Wales,24.866666666666664
Northern Territory,36.300000000000004
Queensland,27.075
South Australia,31.875
Tasmania,18.733333333333334
Victoria,27.025
Western Australia,29.333333333333332
