code,pop
Australian Capital Territory,35.85
New South Wales,33.86666666666667
Northern Territory,36.73333333333333
Queensland,29.725
South Australia,23.2
Tasmania,23.0
Victoria,25.174999999999997
Western Australia,31.03333333333333
