code,pop
Australian Capital Territory,17.85
New South Wales,22.633333333333336
Northern Territory,30.5
Queensland,27.175
South Australia,17.65
Tasmania,15.066666666666668
Victoria,12.424999999999999
Western Australia,33.733333333333334
