code,pop
Australian Capital Territory,18.450000000000003
New South Wales,19.26666666666667
Northern Territory,28.0
Queensland,22.75
South Australia,23.725
Tasmania,16.366666666666667
Victoria,17.325000000000003
Western Australia,29.2
