code,pop
Australian Capital Territory,26.049999999999997
New South Wales,26.733333333333334
Northern Territory,35.6
Queensland,29.924999999999997
South Australia,27.325000000000003
Tasmania,16.233333333333334
Victoria,23.0
Western Australia,36.233333333333334
